module,incoming_coupling,outgoing_coupling,instability
/lib/application.js,1,3,0.75
/lib/config/database.js,1,0,0
/lib/config/index.js,2,3,0.6
/lib/config/jwt.js,1,0,0
/lib/config/openid.js,1,0,0
/lib/database/adapters/AttachmentAdapter.js,2,0,0
/lib/database/adapters/FlpAdapter.js,1,0,0
/lib/database/adapters/FlpRunsAdapter.js,1,0,0
/lib/database/adapters/index.js,10,10,0.5
/lib/database/adapters/LogAdapter.js,1,4,0.8
/lib/database/adapters/LogRunsAdapter.js,1,0,0
/lib/database/adapters/LogTagsAdapter.js,1,0,0
/lib/database/adapters/RunAdapter.js,1,1,0.5
/lib/database/adapters/SubsystemAdapter.js,2,0,0
/lib/database/adapters/TagAdapter.js,3,0,0
/lib/database/adapters/UserAdapter.js,2,0,0
/lib/database/index.js,46,10,0.17857142857142858
/lib/database/models/attachment.js,1,1,0.5
/lib/database/models/epnrolesession.js,1,1,0.5
/lib/database/models/flprole.js,1,1,0.5
/lib/database/models/index.js,1,8,0.8888888888888888
/lib/database/models/log.js,1,1,0.5
/lib/database/models/run.js,1,1,0.5
/lib/database/models/subsystem.js,1,1,0.5
/lib/database/models/tag.js,1,1,0.5
/lib/database/models/user.js,1,1,0.5
/lib/database/repositories/AttachmentRepository.js,1,3,0.75
/lib/database/repositories/FlpRepository.js,1,2,0.6666666666666666
/lib/database/repositories/FlpRunNumberRepository.js,1,3,0.75
/lib/database/repositories/index.js,1,10,0.9090909090909091
/lib/database/repositories/LogRepository.js,1,2,0.6666666666666666
/lib/database/repositories/LogRunNumberRepository.js,1,3,0.75
/lib/database/repositories/LogRunsRepository.js,1,3,0.75
/lib/database/repositories/LogTagsRepository.js,1,3,0.75
/lib/database/repositories/Repository.js,12,1,0.07692307692307693
/lib/database/repositories/RunRepository.js,1,2,0.6666666666666666
/lib/database/repositories/RunTagsRepository.js,1,2,0.6666666666666666
/lib/database/repositories/SubsystemRepository.js,1,2,0.6666666666666666
/lib/database/repositories/TagRepository.js,1,2,0.6666666666666666
/lib/database/repositories/UserRepository.js,1,3,0.75
/lib/database/tables/flpruns.js,1,1,0.5
/lib/database/tables/index.js,1,4,0.8
/lib/database/tables/logruns.js,1,1,0.5
/lib/database/tables/logtags.js,1,1,0.5
/lib/database/tables/runtags.js,1,1,0.5
/lib/database/utilities/index.js,1,2,0.6666666666666666
/lib/database/utilities/QueryBuilder.js,1,1,0.5
/lib/database/utilities/TransactionHelper.js,1,1,0.5
/lib/domain/dtos/CreateAttachmentDto.js,1,3,0.75
/lib/domain/dtos/CreateFlpDto.js,1,2,0.6666666666666666
/lib/domain/dtos/CreateLogDto.js,1,3,0.75
/lib/domain/dtos/CreateSubsystemDto.js,1,1,0.5
/lib/domain/dtos/CreateTagDto.js,1,1,0.5
/lib/domain/dtos/EndRunDto.js,1,1,0.5
/lib/domain/dtos/EntityIdDto.js,15,1,0.0625
/lib/domain/dtos/FileDto.js,2,1,0.3333333333333333
/lib/domain/dtos/GetAllFlpsDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetAllLogAttachmentsDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetAllLogsDto.js,1,3,0.75
/lib/domain/dtos/GetAllRunsDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetAllSubsystemsDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetAllTagsDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetAttachmentDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetFlpDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetLogAttachmentDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetLogDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetRunDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetSubsystemDto.js,1,2,0.6666666666666666
/lib/domain/dtos/GetTagDto.js,1,2,0.6666666666666666
/lib/domain/dtos/index.js,1,24,0.96
/lib/domain/dtos/PaginationDto.js,6,1,0.14285714285714285
/lib/domain/dtos/StartRunDto.js,1,1,0.5
/lib/domain/dtos/UpdateFlpDto.js,1,2,0.6666666666666666
/lib/domain/dtos/UpdateRunTagsDto.js,1,2,0.6666666666666666
/lib/domain/index.js,21,2,0.08695652173913043
/lib/presentation/index.js,1,1,0.5
/lib/presentation/log/index.js,1,1,0.5
/lib/presentation/log/toTreeView.js,1,0,0
/lib/public/components/common/errorAlert.js,11,1,0.08333333333333333
/lib/public/components/common/markdown.js,1,0,0
/lib/public/components/common/spinner.js,10,1,0.09090909090909091
/lib/public/components/Filters/FlpsFilter/index.js,1,2,0.6666666666666666
/lib/public/components/Filters/LogsFilter/author.js,2,1,0.3333333333333333
/lib/public/components/Filters/LogsFilter/created.js,2,1,0.3333333333333333
/lib/public/components/Filters/LogsFilter/index.js,1,1,0.5
/lib/public/components/Filters/LogsFilter/runs.js,2,1,0.3333333333333333
/lib/public/components/Filters/LogsFilter/tags.js,2,2,0.5
/lib/public/components/Filters/LogsFilter/title.js,2,1,0.3333333333333333
/lib/public/components/Filters/RunsFilter/index.js,1,2,0.6666666666666666
/lib/public/components/FlpRun/index.js,1,1,0.5
/lib/public/components/NavBar/index.js,1,2,0.6666666666666666
/lib/public/components/Pagination/amountSelector.js,1,2,0.6666666666666666
/lib/public/components/Pagination/index.js,4,2,0.3333333333333333
/lib/public/components/Pagination/pageSelector.js,1,2,0.6666666666666666
/lib/public/components/Post/index.js,1,1,0.5
/lib/public/components/PostCollapsed/index.js,1,1,0.5
/lib/public/components/RunDetail/index.js,1,1,0.5
/lib/public/components/Table/headers.js,1,2,0.6666666666666666
/lib/public/components/Table/index.js,10,3,0.23076923076923078
/lib/public/components/Table/rows.js,1,1,0.5
/lib/public/utilities/export.js,1,0,0
/lib/public/utilities/pick.js,1,0,0
/lib/public/utilities/removeElement.js,1,0,0
/lib/public/utilities/scrollTo.js,1,0,0
/lib/public/utilities/targetURL.js,4,0,0
/lib/public/views/About/Overview/index.js,1,2,0.6666666666666666
/lib/public/views/Flps/ActiveColumns/index.js,2,0,0
/lib/public/views/Flps/Details/index.js,1,5,0.8333333333333334
/lib/public/views/Flps/Flps.js,1,1,0.5
/lib/public/views/Flps/Overview/index.js,1,7,0.875
/lib/public/views/Home/Overview/index.js,1,4,0.8
/lib/public/views/Logs/ActiveColumns/index.js,3,7,0.7
/lib/public/views/Logs/Create/index.js,1,2,0.6666666666666666
/lib/public/views/Logs/Details/index.js,1,6,0.8571428571428571
/lib/public/views/Logs/Logs.js,1,3,0.75
/lib/public/views/Logs/Overview/index.js,1,7,0.875
/lib/public/views/Runs/ActiveColumns/index.js,3,0,0
/lib/public/views/Runs/ActiveColumnsLogs/index.js,2,7,0.7777777777777778
/lib/public/views/Runs/Details/index.js,1,8,0.8888888888888888
/lib/public/views/Runs/Export/index.js,1,3,0.75
/lib/public/views/Runs/Overview/index.js,1,7,0.875
/lib/public/views/Runs/Runs.js,1,3,0.75
/lib/public/views/Subsystems/Details/index.js,1,5,0.8333333333333334
/lib/public/views/Subsystems/Overview/index.js,1,3,0.75
/lib/public/views/Subsystems/Subsystems.js,1,1,0.5
/lib/public/views/Tags/ActiveColumns/index.js,1,0,0
/lib/public/views/Tags/Create/index.js,1,2,0.6666666666666666
/lib/public/views/Tags/Details/index.js,1,6,0.8571428571428571
/lib/public/views/Tags/Overview/index.js,1,6,0.8571428571428571
/lib/public/views/Tags/Tags.js,1,1,0.5
/lib/server/controllers/attachments.controller.js,1,3,0.75
/lib/server/controllers/auth.controller.js,1,0,0
/lib/server/controllers/createpdf.controller.js,1,0,0
/lib/server/controllers/flps.controller.js,1,3,0.75
/lib/server/controllers/home.controller.js,1,1,0.5
/lib/server/controllers/logs.controller.js,1,3,0.75
/lib/server/controllers/overviews.controller.js,1,0,0
/lib/server/controllers/runs.controller.js,1,3,0.75
/lib/server/controllers/settings.controller.js,1,0,0
/lib/server/controllers/subsystems.controller.js,1,3,0.75
/lib/server/controllers/tags.controller.js,1,3,0.75
/lib/server/controllers/users.controller.js,1,0,0
/lib/server/utilities/index.js,6,2,0.25
/lib/domain/index.js,6,2,0.25
/lib/server/index.js,1,6,0.8571428571428571
/lib/server/middleware/multer.middleware.js,1,1,0.5
/lib/server/routers/attachments.router.js,1,2,0.6666666666666666
/lib/server/routers/auth.router.js,1,1,0.5
/lib/server/controllers/index.js,12,12,0.5
/lib/server/routers/createpdf.router.js,1,1,0.5
/lib/server/routers/flps.router.js,1,1,0.5
/lib/server/routers/home.router.js,1,1,0.5
/lib/server/routers/index.js,1,14,0.9333333333333333
/lib/server/routers/logs.router.js,1,2,0.6666666666666666
/lib/server/middleware/index.js,2,1,0.3333333333333333
/lib/server/routers/overviews.router.js,1,1,0.5
/lib/server/routers/runs.router.js,1,1,0.5
/lib/server/routers/settings.router.js,1,1,0.5
/lib/server/routers/subsystems.router.js,1,1,0.5
/lib/server/routers/tags.router.js,1,1,0.5
/lib/server/routers/users.router.js,1,1,0.5
/lib/usecases/index.js,7,8,0.5333333333333333
/lib/server/utilities/appendPath.js,1,0,0
/lib/server/utilities/dtoValidator.js,1,0,0
/lib/server/utilities/index.js,1,2,0.6666666666666666
/lib/usecases/attachment/CreateAttachmentUseCase.js,1,1,0.5
/lib/usecases/attachment/GetAttachmentUseCase.js,1,1,0.5
/lib/usecases/attachment/index.js,1,2,0.6666666666666666
/lib/usecases/flp/CreateFlpUseCase.js,1,5,0.8333333333333334
/lib/usecases/flp/GetAllFlpsUseCase.js,1,2,0.6666666666666666
/lib/usecases/flp/GetFlpUseCase.js,2,2,0.5
/lib/usecases/flp/GetLogsByFlpUseCase.js,1,2,0.6666666666666666
/lib/usecases/flp/index.js,1,5,0.8333333333333334
/lib/usecases/flp/UpdateFlpUseCase.js,1,4,0.8
/lib/usecases/index.js,1,8,0.8888888888888888
/lib/usecases/log/CreateLogUseCase.js,1,6,0.8571428571428571
/lib/usecases/log/GetAllLogAttachmentsUseCase.js,1,1,0.5
/lib/usecases/log/GetAllLogsUseCase.js,2,2,0.5
/lib/usecases/log/GetLogAttachmentUseCase.js,1,1,0.5
/lib/usecases/log/GetLogTreeUseCase.js,1,3,0.75
/lib/usecases/log/GetLogUseCase.js,3,2,0.4
/lib/usecases/log/index.js,2,6,0.75
/lib/usecases/run/EndRunUseCase.js,1,2,0.6666666666666666
/lib/usecases/run/GetAllRunsUseCase.js,1,2,0.6666666666666666
/lib/usecases/run/GetFlpsByRunUseCase.js,1,1,0.5
/lib/usecases/run/GetLogsByRunUseCase.js,1,2,0.6666666666666666
/lib/usecases/run/GetRunByRunNumberUseCase.js,3,2,0.4
/lib/usecases/run/GetRunUseCase.js,3,2,0.4
/lib/usecases/run/index.js,1,7,0.875
/lib/usecases/run/StartRunUseCase.js,1,3,0.75
/lib/usecases/run/UpdateRunTagsUseCase.js,1,3,0.75
/lib/usecases/server/GetDeployInformationUseCase.js,1,0,0
/lib/usecases/server/GetServerInformationUseCase.js,1,0,0
/lib/usecases/server/index.js,1,2,0.6666666666666666
/lib/usecases/subsystem/CreateSubsystemUseCase.js,1,2,0.6666666666666666
/lib/usecases/subsystem/DeleteSubsystemUseCase.js,1,2,0.6666666666666666
/lib/usecases/subsystem/GetAllSubsystemsUseCase.js,1,2,0.6666666666666666
/lib/usecases/subsystem/GetLogsBySubsystemUseCase.js,1,2,0.6666666666666666
/lib/usecases/subsystem/GetSubsystemUseCase.js,1,2,0.6666666666666666
/lib/usecases/subsystem/index.js,1,5,0.8333333333333334
/lib/usecases/tag/CreateTagUseCase.js,1,2,0.6666666666666666
/lib/usecases/tag/DeleteTagUseCase.js,1,2,0.6666666666666666
/lib/usecases/tag/GetAllTagsUseCase.js,3,2,0.4
/lib/usecases/tag/GetLogsByTagUseCase.js,1,2,0.6666666666666666
/lib/usecases/tag/GetTagUseCase.js,1,2,0.6666666666666666
/lib/usecases/tag/index.js,1,5,0.8333333333333334
/lib/usecases/user/CreateOrUpdateUser.js,1,2,0.6666666666666666
/lib/usecases/user/index.js,1,1,0.5
/lib/utilities/deepmerge.js,1,1,0.5
/lib/utilities/index.js,5,3,0.375
/lib/utilities/isPromise.js,1,0,0
/lib/utilities/Logger.js,1,1,0.5
